tip,name,own
366586,N. piperis IMI 366586,Y
Fusarium_acutisporum_strain_CBS_145461,N. acutispora,
Fusarium_addoense_strain_CBS_146510,N. addoensis,
Fusarium_ambrosium_strain_NRRL_22346,N. ambrosia,
Fusarium_amplum_strain_CBS_202.32,N. ampla,
Fusarium_bataticola_strain_CBS_144398,N. bataticola,
Fusarium_borneense_strain_CBS_145462,N. borneensis,
Fusarium_bostrycoides_strain_CBS_144.25,N. bostrycoides,
Fusarium_breve_strain_CBS_130326,N. brevis,
Fusarium_breviconum_strain_CBS_204.31,N. brevicona,
Fusarium_catenatum_strain_CBS_143229,N. catenata,
Fusarium_celtis-occidentalis_strain_CBS_125502,G. celtidicola,
Fusarium_cicatricum_strain_CBS_125550,G. cicatricum,
Fusarium_crassum_strain_CBS_144386,N. crassa,
Fusarium_cryptoseptatum_strain_CBS_145463,N. cryptoseptata,
Fusarium_cucurbiticola_strain_CBS_410.62,N. cucurbitae CBS 410.62,
Fusarium_cucurbiticola_strain_CBS_616.66,N. cucurbitae CBS 616.66,
Fusarium_cyanescens_strain_CBS_518.82,N. cyanescens,
Fusarium_diminutum_strain_CBS_144390,N. diminuta,
Fusarium_epipeda_strain_CBS_146523,N. epipeda,
Fusarium_euwallaceae_strain_NRRL_54722,N. euwallaceae,
Fusarium_falciforme_strain_CBS_475.67,N. falciformis,
Fusarium_ferrugineum_strain_CBS_109028,N. ferruginea,
Fusarium_sp._AF-3_strain_NRRL_62628,N. floridana,
Fusarium_gamtoosense_strain_CBS_146502,N. gamtoosensis,
Fusarium_haematococcum_strain_CBS_119600,N. haematococca,
Fusarium_helgardnirenbergiae_strain_CBS_145469,N. nirenbergiana,
Fusarium_hypothenemi_strain_CBS_145464,N. hypothenemi,
Fusarium_illudens_strain_CBS_147303,N. illudens,
Fusarium_kelerajum_strain_CBS_125720,N. keleraja,
Fusarium_keratoplasticum_strain_CBS_490.63,N. keratoplastica,
Fusarium_kuroshium_strain_CBS_142642,N. kuroshio,
Fusarium_kurunegalense_strain_CBS_119599,N. kurunegalensis,
Fusarium_lerouxii_strain_CBS_146514,N. lerouxii,
Fusarium_lichenicola_strain_CBS_623.92,N. lichenicola,
Fusarium_liriodendri_strain_CBS_117481,N. liriodendri,
Fusarium_macrosporum_strain_CBS_142424,N. macrospora,
Fusarium_mahasenii_strain_CBS_119594,N. mahasenii,
Fusarium_martii_strain_CBS_115659,N. martii,
Fusarium_merkxianum_strain_CBS_146526,N. merkxiana,
Fusarium_metavorans_strain_CBS_135789,N. metavorans,
Fusarium_mori_strain_CBS_145467,N. mori,
Fusarium_neerlandicum_strain_CBS_232.34,N. neerlandica,
Fusarium_neocosmosporiellum_strain_CBS_533.65,N. vasinfecta,
Fusarium_ngaiotongaense_strain_CBS_126407,N. longissima,
Fusarium_noneumartii_strain_CBS_115658,N. noneumartii,
Fusarium_sp._AF-7_strain_NRRL_62611,N. obliquiseptata,
Fusarium_oblongum_strain_CBS_130325,N. oblonga,
Fusarium_oligoseptatum_strain_CBS_143241,N. oligoseptata,
Fusarium_paraeumartii_strain_CBS_487.76,N. paraeumartii,
Fusarium_parceramosum_strain_CBS_115695,N. parceramosa,
Fusarium_paulenelsonii_strain_CBS_309.75,N. nelsonii,
Fusarium_petroliphilum_strain_CBS_203.32,N. petroliphila,
Fusarium_phaseoli_strain_NRRL_22411,N. phaseoli,
Fusarium_piperis_strain_CML3171,N. piperis CML 3171,
Fusarium_piperis_strain_CML3178,N. piperis CML 3178,
Fusarium_piperis_strain_CBS_145470,N. piperis CBS 145470,
Nectria_plagianthi_strain_NRRL_22632,N. plagianthi,
Fusarium_protoensiforme_strain_CBS_145471,N. protoensiformis,
Fusarium_pseudensiforme_strain_CBS_130.78,N. pseudensiformis,
Fusarium_pseudopisi_strain_CBS_266.50,N. pseudopisi,
Fusarium_pseudoradicicola_strain_CBS_145472,N. pseudoradicicola,
Fusarium_quercinum_strain_CBS_141.90,N. quercicola,
Fusarium_rectiphorum_strain_CBS_125727,N. rectiphora,
Fusarium_regulare_strain_CBS_230.34,N. regularis,
Fusarium_rekanum_strain_CMW52862,N. rekana,
Fusarium_samuelsii_strain_CBS_114067,N. samuelsii,
Fusarium_silvicola_strain_CBS_123846,N. silvicola,
Fusarium_solani_strain_CBS_140079,N. solani,
Fusarium_solani-melongenae_strain_CBS_353.87,N. ipomoeae,
Fusarium_spathulatum_strain_CBS_145474,N. spathulata,
Fusarium_staphyleae_strain_CBS_125482,G. atrofusca,
Fusarium_stercicola_strain_CBS_142481,N. stercicola,
Fusarium_suttonianum_strain_CBS_143214,N. suttoniana,
Fusarium_tonkinense_strain_CBS_115.40,N. tonkinensis,
Fusarium_sp._AF-5_strain_NRRL_22231,N. tuaranensis,
Fusarium_vanettenii_strain_CBS_123669,N. pisi,
Fusarium_venezuelense_strain_CBS_145473,N. robusta,
Fusarium_waltergamsii_strain_CBS_143207,N. gamsii,
Fusarium_yamamotoi_strain_CBS_144395,N. elegans,
Neocosmospora_citricola_strain_CBS_146513,N. citricola,
Neocosmospora_perseae_strain_CBS_144142,N. perseae,
